room_id;room_type;city;borough;neighborhood;reviews;overall_satisfaction;accommodates;bedrooms;price;property_type
3215661;Shared room;Sao Paulo;SAO PAULO;Santa Cecília;0;0.0;2;1.0;34.0;Apartment
15972647;Shared room;Sao Paulo;SAO PAULO;Santana;0;0.0;1;1.0;10.0;Apartment
17587902;Shared room;Sao Paulo;SAO PAULO;Rio Pequeno;0;0.0;2;1.0;10.0;Apartment
17559621;Shared room;Sao Paulo;SAO PAULO;Sé;0;0.0;1;1.0;26.0;Apartment
10537867;Shared room;Sao Paulo;SAO PAULO;Perdizes;0;0.0;1;1.0;31.0;House
9521132;Shared room;Sao Paulo;SAO PAULO;Campo Belo;2;0.0;6;1.0;18.0;Bed & Breakfast
9002833;Shared room;Sao Paulo;SAO PAULO;Vila Sônia;0;0.0;1;1.0;14.0;Apartment
1876494;Shared room;Sao Paulo;SAO PAULO;Jardim Paulista;1;0.0;1;1.0;25.0;Apartment
13556762;Shared room;Sao Paulo;SAO PAULO;Rio Pequeno;0;0.0;3;1.0;11.0;House
13952331;Shared room;Sao Paulo;SAO PAULO;Itaim Bibi;0;0.0;4;1.0;21.0;House
13311503;Shared room;Sao Paulo;SAO PAULO;Jardim Paulista;28;5.0;9;1.0;14.0;Apartment
18586286;Shared room;Sao Paulo;SAO PAULO;São Domingos;0;0.0;6;1.0;15.0;House
10445114;Shared room;Sao Paulo;SAO PAULO;Perdizes;3;4.5;16;1.0;12.0;Bed & Breakfast
16238791;Shared room;Sao Paulo;SAO PAULO;Vila Mariana;2;0.0;1;1.0;11.0;Apartment
12070974;Shared room;Sao Paulo;SAO PAULO;Campo Belo;0;0.0;1;1.0;19.0;Bed & Breakfast
17367299;Shared room;Sao Paulo;SAO PAULO;Vila Mariana;2;0.0;3;1.0;12.0;House
14239079;Shared room;Sao Paulo;SAO PAULO;Consolação;0;0.0;1;1.0;31.0;Apartment
17319009;Shared room;Sao Paulo;SAO PAULO;Pinheiros;0;0.0;4;1.0;15.0;House
19294938;Shared room;Sao Paulo;SAO PAULO;Consolação;0;0.0;1;1.0;18.0;Dorm
2641792;Shared room;Sao Paulo;SAO PAULO;Bela Vista;2;0.0;3;1.0;31.0;Apartment
2379995;Shared room;Sao Paulo;SAO PAULO;Penha;1;0.0;2;1.0;40.0;Dorm
9339279;Shared room;Sao Paulo;SAO PAULO;Tatuapé;0;0.0;6;1.0;18.0;Bed & Breakfast
1730916;Shared room;Sao Paulo;SAO PAULO;Alto de Pinheiros;1;0.0;2;1.0;21.0;House
9269155;Shared room;Sao Paulo;SAO PAULO;Pinheiros;4;4.5;2;1.0;25.0;House
13675332;Shared room;Sao Paulo;SAO PAULO;Cambuci;0;0.0;1;1.0;11.0;House
16974905;Shared room;Sao Paulo;SAO PAULO;Aricanduva;0;0.0;1;1.0;22.0;House
11942408;Shared room;Sao Paulo;SAO PAULO;Rio Pequeno;1;0.0;3;1.0;12.0;House
17655512;Shared room;Sao Paulo;SAO PAULO;Mooca;0;0.0;1;1.0;13.0;Timeshare
18656229;Shared room;Sao Paulo;SAO PAULO;Bela Vista;0;0.0;1;1.0;14.0;Apartment
16139911;Shared room;Sao Paulo;OSASCO;Osasco;0;0.0;1;1.0;25.0;Apartment
13706997;Shared room;Sao Paulo;GUARULHOS;Jardim Presidente Dutra;1;0.0;10;1.0;19.0;House
15377302;Shared room;Sao Paulo;SAO PAULO;República;3;5.0;1;1.0;12.0;Apartment
12546415;Shared room;Sao Paulo;SAO PAULO;República;22;5.0;2;1.0;14.0;Apartment
2694704;Shared room;Sao Paulo;SAO PAULO;Moema;5;4.5;9;1.0;15.0;Bed & Breakfast
11055139;Shared room;Sao Paulo;SAO PAULO;República;6;5.0;2;1.0;10.0;Apartment
18627700;Shared room;Sao Paulo;SAO PAULO;Consolação;1;0.0;1;1.0;11.0;Apartment
9337701;Shared room;Sao Paulo;SAO PAULO;Tatuapé;0;0.0;8;1.0;18.0;Bed & Breakfast
18506407;Shared room;Sao Paulo;SAO PAULO;Campo Belo;0;0.0;1;1.0;18.0;House
911552;Shared room;Sao Paulo;SAO PAULO;Vila Mariana;31;4.5;1;1.0;15.0;House
14580622;Shared room;Sao Paulo;SAO PAULO;Campo Belo;0;0.0;2;1.0;18.0;House
8682180;Shared room;Sao Paulo;SAO PAULO;Vila Mariana;2;0.0;6;1.0;12.0;Bed & Breakfast
2756132;Shared room;Sao Paulo;SAO PAULO;Pinheiros;1;0.0;1;1.0;15.0;Apartment
19020003;Shared room;Sao Paulo;SAO PAULO;Vila Formosa;0;0.0;2;1.0;21.0;Apartment
15993607;Shared room;Sao Paulo;SAO PAULO;Perdizes;1;0.0;4;1.0;11.0;Hostel
16206171;Shared room;Sao Paulo;SAO BERNARDO DO CAMPO;São Bernardo do Campo;0;0.0;2;1.0;15.0;House
14965759;Shared room;Sao Paulo;SAO PAULO;Campo Belo;3;5.0;2;1.0;10.0;Apartment
9739097;Shared room;Sao Paulo;SAO PAULO;Perdizes;0;0.0;5;1.0;15.0;Apartment
654134;Shared room;Sao Paulo;SAO PAULO;Bela Vista;9;4.5;1;1.0;31.0;Apartment
16815065;Shared room;Sao Paulo;SAO PAULO;Jardim Paulista;1;0.0;4;1.0;15.0;Hostel
5284190;Shared room;Sao Paulo;SAO PAULO;Pinheiros;5;4.5;6;1.0;16.0;Bed & Breakfast
16023622;Shared room;Sao Paulo;SAO PAULO;Moema;0;0.0;2;1.0;37.0;Apartment
14336853;Shared room;Sao Paulo;SAO PAULO;Bom Retiro;3;5.0;3;1.0;28.0;Other
2138183;Shared room;Sao Paulo;SAO PAULO;Alto de Pinheiros;3;4.5;8;1.0;15.0;Dorm
435035;Shared room;Sao Paulo;SAO PAULO;Butantã;2;0.0;16;1.0;20.0;House
19316264;Shared room;Sao Paulo;SAO PAULO;Consolação;0;0.0;1;1.0;15.0;Apartment
16379527;Shared room;Sao Paulo;SAO PAULO;Tatuapé;5;4.0;2;1.0;23.0;Apartment
7919742;Shared room;Sao Paulo;SAO PAULO;Santo Amaro;6;5.0;2;1.0;40.0;Apartment
13713579;Shared room;Sao Paulo;GUARULHOS;Guarulhos;2;0.0;2;1.0;12.0;Apartment
17751839;Shared room;Sao Paulo;SAO PAULO;Vila Guilherme;0;0.0;1;1.0;28.0;House
2780253;Shared room;Sao Paulo;SAO PAULO;Santa Cecília;6;4.5;4;1.0;12.0;Apartment
1132709;Shared room;Sao Paulo;SAO PAULO;Perdizes;4;4.5;16;1.0;12.0;Bed & Breakfast
11008859;Shared room;Sao Paulo;SAO PAULO;Água Rasa;2;0.0;16;1.0;12.0;Other
15173757;Shared room;Sao Paulo;SAO PAULO;Perdizes;6;5.0;6;1.0;22.0;Bed & Breakfast
9643490;Shared room;Sao Paulo;SAO PAULO;Santana;1;0.0;16;1.0;12.0;Bed & Breakfast
13811480;Shared room;Sao Paulo;SAO PAULO;Sacomã;0;0.0;2;1.0;12.0;House
15801375;Shared room;Sao Paulo;SAO PAULO;Campo Belo;5;4.5;15;1.0;14.0;House
12486671;Shared room;Sao Paulo;GUARULHOS;Guarulhos;14;4.5;1;1.0;11.0;House
5103934;Shared room;Sao Paulo;SAO PAULO;República;25;4.5;1;1.0;11.0;Apartment
13407446;Shared room;Sao Paulo;SAO PAULO;Perdizes;2;0.0;7;1.0;14.0;House
8868018;Shared room;Sao Paulo;SAO PAULO;Bela Vista;12;5.0;1;1.0;28.0;Apartment
14872135;Shared room;Sao Paulo;SAO PAULO;Rio Pequeno;1;0.0;1;1.0;25.0;Apartment
16052179;Shared room;Sao Paulo;SAO PAULO;Jaçanã;1;0.0;2;1.0;25.0;Apartment
8911214;Shared room;Sao Paulo;SAO PAULO;Bela Vista;32;4.5;9;1.0;14.0;Apartment
14361477;Shared room;Sao Paulo;SAO PAULO;Cursino;0;0.0;1;1.0;36.0;House
